compound,neg,neu,pos
0.5878,0.186,0.485,0.329
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.25,0.284,0.556,0.16
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.596,0.0,0.783,0.217
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7626,0.0,0.626,0.374
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.792,0.208
0.4466,0.0,0.845,0.155
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4019,0.172,0.828,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.706,0.294
0.4404,0.095,0.68,0.224
0.0,0.0,1.0,0.0
0.2732,0.0,0.811,0.189
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.104,0.896,0.0
-0.4278,0.168,0.832,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.792,0.208
0.2732,0.0,0.792,0.208
0.0,0.0,1.0,0.0
0.3612,0.0,0.878,0.122
0.1027,0.0,0.781,0.219
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.872,0.128
0.2732,0.0,0.811,0.189
0.0,0.0,1.0,0.0
-0.0516,0.131,0.75,0.119
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7003,0.0,0.547,0.453
0.0,0.0,1.0,0.0
0.2732,0.0,0.811,0.189
-0.2755,0.095,0.905,0.0
0.0,0.0,1.0,0.0
-0.3595,0.161,0.839,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.28,0.72,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4767,0.237,0.763,0.0
0.4926,0.0,0.687,0.313
-0.4585,0.176,0.824,0.0
0.0,0.0,1.0,0.0
0.6514,0.0,0.675,0.325
-0.5829,0.23,0.77,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.872,0.128
-0.5829,0.23,0.77,0.0
0.0,0.0,1.0,0.0
-0.0516,0.131,0.75,0.119
0.0,0.0,1.0,0.0
-0.0516,0.131,0.75,0.119
0.0,0.0,1.0,0.0
-0.0772,0.14,0.86,0.0
0.4404,0.0,0.707,0.293
0.7269,0.0,0.757,0.243
0.0,0.0,1.0,0.0
-0.5423,0.28,0.72,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3818,0.0,0.794,0.206
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.34,0.211,0.789,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2263,0.112,0.888,0.0
-0.2263,0.128,0.872,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.851,0.149
-0.2263,0.128,0.872,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4588,0.0,0.87,0.13
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.296,0.216,0.784,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5106,0.268,0.732,0.0
0.9184,0.0,0.435,0.565
0.0,0.0,1.0,0.0
-0.3612,0.172,0.828,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.872,0.128
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7241,0.0,0.698,0.302
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1501,0.116,0.801,0.083
0.2263,0.124,0.703,0.173
0.0,0.0,1.0,0.0
0.6369,0.0,0.769,0.231
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4278,0.168,0.832,0.0
0.0,0.0,1.0,0.0
0.3802,0.0,0.794,0.206
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6114,0.0,0.79,0.21
0.0,0.0,1.0,0.0
-0.1063,0.159,0.736,0.105
0.0772,0.0,0.885,0.115
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5994,0.231,0.769,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.792,0.208
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.872,0.128
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.811,0.189
0.0,0.0,1.0,0.0
0.2732,0.0,0.838,0.162
-0.128,0.086,0.914,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.28,0.72,0.0
0.0,0.0,1.0,0.0
0.4588,0.0,0.75,0.25
0.34,0.0,0.87,0.13
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4939,0.167,0.833,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5267,0.112,0.64,0.248
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5267,0.112,0.64,0.248
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5994,0.262,0.738,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.828,0.172
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.189,0.811,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.872,0.128
0.2732,0.0,0.811,0.189
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0516,0.131,0.75,0.119
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4404,0.182,0.818,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.091,0.909,0.0
0.7096,0.0,0.711,0.289
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5267,0.207,0.793,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4019,0.153,0.847,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.808,0.192
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.189,0.811,0.0
0.0,0.0,1.0,0.0
0.0772,0.0,0.894,0.106
-0.0772,0.14,0.86,0.0
