compound,neg,neu,pos
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2023,0.0,0.87,0.13
-0.128,0.123,0.776,0.1
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1779,0.0,0.866,0.134
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.25,0.0,0.867,0.133
0.0,0.0,1.0,0.0
0.2023,0.0,0.769,0.231
0.0,0.0,1.0,0.0
-0.296,0.167,0.833,0.0
0.0,0.0,1.0,0.0
0.2023,0.0,0.769,0.231
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0772,0.0,0.925,0.075
0.0,0.0,1.0,0.0
0.2023,0.0,0.847,0.153
0.6249,0.0,0.76,0.24
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5574,0.247,0.753,0.0
-0.5423,0.28,0.72,0.0
0.2023,0.0,0.878,0.122
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5622,0.0,0.782,0.218
0.0,0.0,1.0,0.0
0.5106,0.0,0.858,0.142
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.104,0.896,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.743,0.0,0.69,0.31
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2023,0.0,0.769,0.231
0.2023,0.0,0.769,0.231
0.0,0.0,1.0,0.0
-0.4278,0.168,0.832,0.0
0.0,0.0,1.0,0.0
0.7841,0.0,0.734,0.266
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
